Complete NA Playstation Plus Master List by u/ABattleVet,913,Try restoring licenses to get DLC to unlock,,,Game Pass,,,,,,,,,,
Game,System,Tier,Status,Added,Removed,Months,Release,Age,Metacritic,User,Completion,Genre,Notes / Original System,PC Streaming,Local Multiplayer
Dungeons 2,PS4,Extra,Removed,Jun 2022,Mar 2023,9.21,May 2016,6.12,68,,16,Adventure,,Yes,
Dynasty Warriors 8: Empires,PS4,Extra,Active,Jun 2022,,13.68,,122.53,68,,13,Action,,No,Yes
Earth Defense Force 4.1: The Shadow of New Despair,PS4,Extra,Active,Jun 2022,,13.68,Apr 2015,7.21,65,,23,Action,,Yes,Yes
El Hijo: A Wild West Tale,PS4,Extra,Active,Jun 2022,,13.68,,122.53,72,,5,Adventure,,Yes,
Electronic Super Joy,PS4,Extra,Removed,Jun 2022,Jan 2023,7.17,Aug 2013,8.81,80,,5,Platformer,,Yes,
Elex,PS4,Extra,Active,Jun 2022,,13.68,,122.53,61,,27,RPG,,Yes,
Embr,PS4,Extra,Active,Jun 2022,,13.68,May 2020,2.06,67,,7,Action,,Yes,Yes
Empire of Sin,PS4,Extra,Active,Jun 2022,,13.68,Dec 2020,1.53,63,,13,Strategy,,Yes,
Enigmatis: The Ghosts of Maple Creek,PS4,Extra,Removed,Jun 2022,Jan 2023,7.17,Apr 2016,6.20,74,,5,Puzzle,,Yes,
Enter The Gungeon,PS4,Extra,Active,Jun 2022,,13.68,Apr 2016,6.19,85,,22,Action,,Yes,Yes
Entwined,PS4,Extra,Active,Jun 2022,,13.68,Jun 2014,8.04,68,,2,Music,,Yes,Yes
Everspace,PS4,Extra,Active,Jun 2022,,13.68,Sep 2016,5.75,83,,19,Action,,No,
Everybody's Golf,PS4,Extra,Active,Jun 2022,,13.68,,122.53,79,,16,Sports,,No,Yes
Fade to Silence,PS4,Extra,Active,Jun 2022,,13.68,,122.53,56,,38,RPG,,Yes,Yes
Fallout 4,PS4,Extra,Active,Jun 2022,,13.68,Nov 2015,6.59,87,,27,RPG,,Yes,
Fallout 76,PS4,Extra,Active,Jun 2022,,13.68,Nov 2018,3.58,54,,30,RPG,,Yes,
Far Cry 3: Blood Dragon - Classic Edition,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,80,,5,Shooter,,Yes,
Far Cry 3: Classic Edition,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,75,,16,Shooter,,Yes,
Far Cry 4,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,83,,18,Shooter,,Yes,
FIA European Truck Racing Championship,PS4,Extra,Active,Jun 2022,,13.68,,122.53,62,,11,Racing,,Yes,Yes
FIGHTING EX LAYER,PS4,Extra,Active,Jun 2022,,13.68,,122.53,74,,1,Fighting,,No,
Final Fantasy IX,PS4,Extra,Active,Jun 2022,,13.68,Jul 2000,21.95,83,,39,RPG,,Yes,
Final Fantasy VII,PS4,Extra,Active,Jun 2022,,13.68,Jan 1997,25.38,82,,37,RPG,,Yes,
Final Fantasy VIII: Remastered,PS4,Extra,Active,Jun 2022,,13.68,,122.53,81,,40,RPG,,Yes,
Final Fantasy X/X-2: HD Remaster,PS4,Extra,Active,Jun 2022,,13.68,Dec 2013,8.47,83,,51,RPG,,Yes,
Final Fantasy XII: The Zodiac Age,PS4,Extra,Active,Jun 2022,,13.68,Jul 2017,4.93,85,,41,RPG,,Yes,
Final Fantasy XV: Royal Edition,PS4,Extra,Active,Jun 2022,,13.68,,122.53,77,8.7,27,RPG,,Yes,
Fluster Cluck,PS4,Extra,Removed,Jun 2022,Jul 2023,13.12,Oct 2014,7.70,35,,1,Arcade,,Yes,
For Honor,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,Feb 2017,5.33,76,,7,Action,,Yes,Yes
For The King,PS4,Extra,Active,Jun 2022,,13.68,Feb 2018,4.29,75,,10,Strategy,,Yes,Yes
Friday the 13th: The Game,PS4,Extra,Active,Jun 2022,,13.68,,122.53,61,,5,Horror,,Yes,
Frostpunk,PS4,Extra,Active,Jun 2022,,13.68,Apr 2018,4.20,85,,11,Strategy,,Yes,
Fury Unleashed,PS4,Extra,Active,Jun 2022,,13.68,,122.53,77,,9,Platformer,,Yes,Yes
Gabbuchi,PS4,Extra,Removed,Jun 2022,Apr 2023,10.13,,122.53,65,,9,Puzzle,,No,
Gal Gunvolt Burst,PS4,Extra,Active,Jun 2022,,13.68,,122.53,75,,3,Platformer,,No,
Get Even,PS4,Extra,Active,Jun 2022,,13.68,Jun 2017,5.04,72,,8,Action,,Yes,
Ghost of a Tale,PS4,Extra,Removed,Jun 2022,Mar 2023,9.21,Mar 2018,4.25,76,,11,RPG,,Yes,
Giana Sisters: Twisted Dreams - Director's Cut,PS4,Extra,Active,Jun 2022,,13.68,Oct 2012,9.70,70,,8,Platformer,,Yes,
Gods Will Fall,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,,122.53,65,,5,Action,,Yes,
Golf with Your Friends,PS4,Extra,Active,Jun 2022,,13.68,May 2020,2.07,67,,13,Sports,,Yes,Yes
Goosebumps: The Game,PS4,Extra,Active,Jun 2022,,13.68,Oct 2015,6.70,35,,3,Horror,,Yes,
Grand Ages: Medieval,PS4,Extra,Active,Jun 2022,,13.68,Oct 2015,6.70,67,,9,Strategy,,Yes,
Graveyard Keeper,PS4,Extra,Removed,Jun 2022,May 2023,11.05,Aug 2018,3.83,68,,45,Simulation,,Yes,
Gravity Rush 2,PS4,Extra,Active,Jun 2022,,13.68,Jan 2017,5.45,81,,9,Action,,Yes,
GRIP Combat Racing,PS4,Extra,Leaving Soon,Jun 2022,Aug 2023,14.04,,122.53,69,,14,Racing,,No,Yes
Gunvolt Chronicles: Luminous Avenger iX,PS4,Extra,Active,Jun 2022,,13.68,,122.53,80,,3,Platformer,,No,
Harvest Moon: Light of Hope - Special Edition,PS4,Extra,Active,Jun 2022,,13.68,,122.53,80,,19,Strategy,,No,
Harvest Moon: Mad Dash,PS4,Extra,Active,Jun 2022,,13.68,,122.53,37,,9,Puzzle,,No,Yes
Harvest Moon: One World,PS4,Extra,Active,Jun 2022,,13.68,,122.53,51,,20,Simulation,,No,
Hello Neighbor,PS4,Extra,Active,Jun 2022,,13.68,Dec 2017,4.53,45,,7,Horror,,Yes,Yes
Hollow Knight: Voidheart Edition,PS4,Extra,Active,Jun 2022,,13.68,Feb 2017,5.30,91,,27,Platformer,,Yes,
Homefront: The Revolution,PS4,Extra,Removed,Jun 2022,May 2023,11.05,May 2016,6.08,49,,12,Shooter,,Yes,
Horizon Zero Dawn: Complete Edition,PS4,Extra,Active,Jun 2022,,13.68,,122.53,90,,30,Adventure,,Yes,
Hotline Miami 2: Wrong Number,PS4,Extra,Active,Jun 2022,,13.68,,122.53,74,,9,Action,,No,
Hotshot Racing,PS4,Extra,Active,Jun 2022,,13.68,Sep 2020,1.76,77,,2,Racing,,Yes,Yes
How To Survive 2,PS4,Extra,Active,Jun 2022,,13.68,,122.53,65,,28,Survival,,Yes,Yes
How to Survive: Storm Warning Edition,PS4,Extra,Removed,Jun 2022,May 2023,11.05,,122.53,67,,10,Survival,,Yes,
Hue,PS4,Extra,Active,Jun 2022,,13.68,Aug 2016,5.79,79,,5,Puzzle,,Yes,
I Am Bread,PS4,Extra,Active,Jun 2022,,13.68,Aug 2015,6.87,61,,3,Puzzle,,Yes,Yes
Indivisible,PS4,Extra,Active,Jun 2022,,13.68,Oct 2019,2.68,79,,19,Platformer,,Yes,Yes
inFAMOUS: First Light,PS4,Extra,Active,Jun 2022,,13.68,Aug 2014,7.87,76,,4,Action,,Yes,
inFAMOUS: Second Son,PS4,Extra,Active,Jun 2022,,13.68,Mar 2014,8.29,81,,10,Action,,Yes,
Infinite Minigolf,PS4,Extra,Active,Jun 2022,,13.68,,122.53,74,,2,Sports,,Yes,Yes
Injustice 2,PS4,Extra,Removed,Jun 2022,May 2023,11.05,May 2017,5.08,88,,6,Fighting,,Yes,Yes
Joe Dever's Lone Wolf,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,Oct 2013,8.70,79,,15,Action,,Yes,
John Wick Hex,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,,122.53,73,,8,Strategy,,No,
Jotun: Valhalla Edition,PS4,Extra,Active,Jun 2022,,13.68,,122.53,78,,5,Action,,Yes,
Journey to the Savage Planet,PS4,Extra,Active,Jun 2022,,13.68,Jan 2020,2.38,77,,7,Shooter,,Yes,
JumpJet Rex,PS4,Extra,Removed,Jun 2022,Jan 2023,7.17,Apr 2016,6.13,77,,3,Platformer,,Yes,Yes
KeyWe,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,,122.53,75,,8,Puzzle,,No,Yes
Killzone Shadow Fall,PS4,Extra,Active,Jun 2022,,13.68,Nov 2013,8.62,73,,10,Shooter,,Yes,Yes
Killzone: Shadow Fall - Intercept,PS4,Extra,Removed,Jun 2022,Aug 2022,1.97,Jun 2014,7.97,73,,10,Shooter,,No,Yes
Kingdom Come: Deliverance,PS4,Extra,Removed,Jun 2022,May 2023,11.05,Feb 2018,4.33,72,,41,RPG,,Yes,
Kingdom: New Lands,PS4,Extra,Active,Jun 2022,,13.68,Oct 2015,6.70,78,,10,Platformer,,Yes,
Kingdom: Two Crowns,PS4,Extra,Active,Jun 2022,,13.68,,122.53,78,,26,Platformer,,Yes,Yes
Knack,PS4,Extra,Active,Jun 2022,,13.68,Nov 2013,8.62,58,,11,Platformer,,Yes,Yes
Last Day of June,PS4,Extra,Removed,Jun 2022,May 2023,11.05,,122.53,76,,3,Adventure,,Yes,
Left Alive: Day One Edition,PS4,Extra,Removed,Jun 2022,May 2023,11.05,,122.53,37,,13,Shooter,,Yes,
Legendary Fishing,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,83,,4,Sports,,Yes,Yes
Legends of Ethernal,PS4,Extra,Active,Jun 2022,,13.68,,122.53,61,,17,Platformer,,No,
LEGO Batman 3: Beyond Gotham,PS4,Extra,Active,Jun 2022,,13.68,Nov 2014,7.59,73,,10,Adventure,,Yes,Yes
Leo's Fortune,PS4,Extra,Removed,Jun 2022,Jan 2023,7.17,Sep 2015,6.79,75,,3,Puzzle,,Yes,
Little Big Workshop,PS4,Extra,Active,Jun 2022,,13.68,,122.53,75,,19,Strategy,,Yes,
Little Nightmares,PS4,Extra,Active,Jun 2022,,13.68,Apr 2017,5.13,79,,4,Adventure,,Yes,
LittleBigPlanet 3,PS4,Extra,Active,Jun 2022,,13.68,Nov 2014,7.62,79,,6,Platformer,,Yes,Yes
Lost Words: Beyond The Page,PS4,Extra,Active,Jun 2022,,13.68,Mar 2020,2.21,78,,5,Platformer,,No,
Mafia III: Definitive Edition,PS4,Extra,Removed,Jun 2022,Nov 2022,5.10,,122.53,64,,25,Action,,No,
Magicka 2,PS4,Extra,Active,Jun 2022,,13.68,May 2015,7.12,69,,6,RPG,,Yes,Yes
Mahjong,PS4,Extra,Active,Jun 2022,,13.68,,122.53,85,,6,Puzzle,,Yes,
Malicious Fallen,PS4,Extra,Active,Jun 2022,,13.68,Feb 2017,5.36,67,,4,Action,,Yes,
Marvel Puzzle Quest,PS4,Extra,Removed,Jun 2022,Apr 2023,10.13,,122.53,68,,30,Puzzle,,Yes,
Masters of Anima,PS4,Extra,Removed,Jun 2022,Jan 2023,7.17,,122.53,75,,6,Strategy,,Yes,
Matterfall,PS4,Extra,Active,Jun 2022,,13.68,,122.53,74,,4,Platformer,,No,
MediEvil,PS4,Extra,Active,Jun 2022,,13.68,Oct 2019,2.70,69,,9,Action,,Yes,
Megadimension Neptunia VII,PS4,Extra,Active,Jun 2022,,13.68,May 2018,4.12,70,,,RPG,,No,
Mighty No. 9,PS4,Extra,Removed,Jun 2022,May 2023,11.05,Jun 2016,6.04,53,,,Platformer,,Yes,
Minit,PS4,Extra,Active,Jun 2022,,13.68,Apr 2018,4.20,79,,,Adventure,,Yes,
Mitsurugi Kamui Hikae,PS4,Extra,Active,Jun 2022,,13.68,Feb 2016,6.37,61,,,Action,,Yes,
Momodora: Reverie Under The Moonlight,PS4,Extra,Active,Jun 2022,,13.68,Mar 2016,6.28,79,,,Platformer,,No,
Monster Jam Steel Titans 2,PS4,Extra,Active,Jun 2022,,13.68,,122.53,60,,,Racing,,Yes,Yes
Moonlighter,PS4,Extra,Active,Jun 2022,,13.68,May 2018,4.04,81,,,RPG,,Yes,
Moving Out,PS4,Extra,Active,Jun 2022,,13.68,Apr 2020,2.15,78,,,Strategy,,Yes,Yes
MX vs. ATV: All Out,PS4,Extra,Removed,Jun 2022,May 2023,11.05,,122.53,52,,,Racing,,Yes,Yes
Mudrunner,PS4,Extra,Active,Jun 2022,,13.68,Oct 2017,4.62,67,,,Racing,,Yes,Yes
My Friend Pedro,PS4,Extra,Active,Jun 2022,,13.68,Jun 2019,2.98,81,7.5,,Action,,Yes,
My Time at Portia,PS4,Extra,Active,Jun 2022,,13.68,Apr 2019,3.16,74,,,Simulation,,Yes,
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Extra,Removed,Jun 2022,Apr 2023,10.13,,122.53,79,,,RPG,,Yes,Yes
NASCAR Heat 5,PS4,Extra,Active,Jun 2022,,13.68,,122.53,64,,,Racing,,Yes,Yes
NBA 2K Playgrounds 2,PS4,Extra,Removed,Jun 2022,May 2023,11.05,Oct 2018,3.70,70,,,Sports,,Yes,Yes
Necromunda: Underhive Wars,PS4,Extra,Active,Jun 2022,,13.68,,122.53,56,,,Strategy,,Yes,
Nidhogg,PS4,Extra,Leaving Soon,Jun 2022,Aug 2023,14.04,Jan 2014,8.45,81,,,Action,,Yes,Yes
Nidhogg 2,PS4,Extra,Active,Jun 2022,,13.68,,122.53,78,,,Action,,Yes,Yes
Nightmares from the Deep 2: The Siren's Call,PS4,Extra,Active,Jun 2022,,13.68,,122.53,69,,,Adventure,,No,
Nights of Azure,PS4,Extra,Active,Jun 2022,,13.68,Mar 2016,6.29,68,,,RPG,,Yes,
Nights of Azure 2: Bride of the New Moon,PS4,Extra,Active,Jun 2022,,13.68,Oct 2017,4.70,65,,,RPG,,Yes,
Nioh,PS4,Extra,Active,Jun 2022,,13.68,Feb 2017,5.36,88,,,RPG,,Yes,
No Straight Roads,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,,122.53,71,,,Music,,No,Yes
Observation,PS4,Extra,Active,Jun 2022,,13.68,May 2019,3.07,76,,,Horror,,Yes,
Oddworld: New 'n' Tasty,PS4,Extra,Active,Jun 2022,,13.68,,122.53,81,,,Platformer,,Yes,
Omega Quintet,PS4,Extra,Active,Jun 2022,,13.68,,122.53,62,,,RPG,,Yes,
Outer Wilds,PS4,Extra,Active,Jun 2022,,13.68,May 2019,3.04,85,,,Adventure,,Yes,
Overcooked! 2,PS4,Extra,Active,Jun 2022,,13.68,Aug 2018,3.85,83,,,Arcade,,Yes,Yes
Overpass,PS4,Extra,Active,Jun 2022,,13.68,,122.53,54,,,Racing,,Yes,Yes
Override 2: Super Mech League,PS4,Extra,Removed,Jun 2022,Mar 2023,9.21,Dec 2020,1.47,60,,,Fighting,,Yes,Yes
Party Hard,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,,122.53,66,,,Strategy,,Yes,Yes
Pathfinder: Kingmaker - Definitive Edition,PS4,Extra,Removed,Jun 2022,May 2023,11.05,,122.53,71,,,RPG,,Yes,
Payday 2: Crimewave Edition,PS4,Extra,Active,Jun 2022,,13.68,Aug 2013,8.84,69,,,Shooter,,Yes,
PGA Tour 2K21,PS4,Extra,Removed,Jun 2022,Oct 2022,3.81,Aug 2020,1.87,78,,23,Sports,,Yes,Yes
Pile Up! Box by Box,PS4,Extra,Active,Jun 2022,,13.68,Aug 2021,0.87,73,,,Platformer,,Yes,Yes
Pillars of Eternity: Complete Edition,PS4,Extra,Removed,Jun 2022,Dec 2022,6.28,Mar 2015,7.22,84,,32,RPG,,Yes,
Pixel Piracy,PS4,Extra,Removed,Jun 2022,May 2023,11.05,Feb 2016,6.37,52,,,Simulation,,Yes,
Portal Knights,PS4,Extra,Active,Jun 2022,,13.68,Feb 2016,6.30,72,,,RPG,,Yes,Yes
Power Rangers: Battle For The Grid,PS4,Extra,Active,Jun 2022,,13.68,Mar 2019,3.22,61,,,Fighting,,Yes,Yes
Prey,PS4,Extra,Active,Jun 2022,,13.68,May 2017,5.11,80,,16,Shooter,,Yes,
Prison Architect,PS4,Extra,Active,Jun 2022,,13.68,Oct 2015,6.69,80,,,Strategy,,Yes,
Pure Farming 2018,PS4,Extra,Removed,Jun 2022,Feb 2023,8.28,Mar 2018,4.29,68,,,Simulation,,Yes,
Pure Hold'em World Poker Championship,PS4,Extra,Active,Jun 2022,,13.68,Aug 2015,6.87,73,,,Puzzle,,Yes,
Pure Pool,PS4,Extra,Active,Jun 2022,,13.68,Jul 2014,7.96,73,,,Sports,,Yes,
R-Type Final 2,PS4,Extra,Active,Jun 2022,,13.68,,122.53,74,,,Action,,No,
Rad Rodgers,PS4,Extra,Removed,Jun 2022,Feb 2023,8.28,Feb 2018,4.36,65,,,Platformer,,Yes,Yes
Rapala Fishing: Pro Series,PS4,Extra,Active,Jun 2022,,13.68,Oct 2017,4.70,52,,,Sports,,Yes,
Rebel Galaxy,PS4,Extra,Active,Jun 2022,,13.68,Oct 2015,6.65,74,,,Simulation,,Yes,
Redeemer: Enhanced Edition,PS4,Extra,Removed,Jun 2022,Jun 2023,12.20,,122.53,64,,,Action,,Yes,Yes
Relicta,PS4,Extra,Removed,Jun 2022,May 2023,11.05,Aug 2020,1.87,72,,,Puzzle,,Yes,
Resogun,PS4,Extra,Active,Jun 2022,,13.68,Nov 2013,8.62,85,,,Arcade,,Yes,
Risk: Urban Assault,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,59,,,Strategy,,Yes,Yes
Rock of Ages 3: Make & Break,PS4,Extra,Active,Jun 2022,,13.68,,122.53,71,,,Strategy,,No,Yes
Rogue Stormers,PS4,Extra,Removed,Jun 2022,Jul 2023,13.12,Oct 2016,5.70,64,,,Action,,Yes,Yes
Romance of the Three Kingdoms XIII,PS4,Extra,Active,Jun 2022,,13.68,,122.53,70,,,Strategy,,Yes,
Seasons After Fall,PS4,Extra,Removed,Jun 2022,Jan 2023,7.17,Sep 2016,5.78,77,,6,Platformer,,Yes,
Secret Neighbor,PS4,Extra,Active,Jun 2022,,13.68,,122.53,40,,,Horror,,No,Yes
Shadow of the Beast,PS4,Extra,Active,Jun 2022,,13.68,May 2016,6.12,66,,,Action,,Yes,
Shadow of the Colossus,PS4,Extra,Active,Jun 2022,,13.68,,122.53,91,,,Adventure,,Yes,
Shadow Warrior 2,PS4,Extra,Active,Jun 2022,,13.68,Oct 2016,5.67,78,,,Shooter,,Yes,
Shenmue III,PS4,Extra,Removed,Jun 2022,May 2023,11.05,Nov 2019,2.62,68,,,Adventure,,Yes,
Shiness: The Lightning Kingdom,PS4,Extra,Removed,Jun 2022,Jan 2023,7.17,Apr 2017,5.20,68,,16,RPG,,Yes,Yes
Sine Mora EX,PS4,Extra,Removed,Jun 2022,Feb 2023,8.28,Mar 2012,10.29,78,,,Action,,Yes,Yes
SkyDrift Infinity,PS4,Extra,Removed,Jun 2022,Feb 2023,8.28,,122.53,80,,,Arcade,,Yes,Yes
Slime Rancher,PS4,Extra,Active,Jun 2022,,13.68,Aug 2017,4.87,80,,,Strategy,,Yes,
Sniper Elite 4,PS4,Extra,Active,Jun 2022,,13.68,Feb 2017,5.33,78,,,Shooter,,Yes,Yes
SOMA,PS4,Extra,Removed,Jun 2022,Oct 2022,4.18,Sep 2015,6.79,83,,9,Horror,,Yes,
Soulcalibur VI,PS4,Extra,Active,Jun 2022,,13.68,Oct 2018,3.65,84,,,Fighting,,Yes,Yes
South Park: The Fractured But Whole,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,Oct 2017,4.70,82,,,RPG,,Yes,
South Park: The Stick of Truth,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,Mar 2014,8.29,85,,,RPG,,Yes,
Space Crew: Legendary Edition,PS4,Extra,Active,Jun 2022,,13.68,,122.53,68,,,Strategy,,Yes,
Space Hulk: Deathwing - Enhanced Edition,PS4,Extra,Active,Jun 2022,,13.68,,122.53,58,,,Shooter,,Yes,
Space Hulk: Tactics,PS4,Extra,Removed,Jun 2022,Jan 2023,7.17,Oct 2018,3.68,70,,10,Strategy,,Yes,Yes
Sparkle Unleashed,PS4,Extra,Removed,Jun 2022,Feb 2023,8.28,Jul 2015,6.96,66,,,Puzzle,,No,
Spitlings,PS4,Extra,Active,Jun 2022,,13.68,,122.53,71,,,Arcade,,Yes,Yes
Star Ocean First Departure R,PS4,Extra,Removed,Jun 2022,May 2023,11.05,,122.53,73,,,RPG,,Yes,
Starlink: Battle For Atlas,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,76,,,Simulation,,Yes,Yes
Steep,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,Dec 2016,5.53,71,,,Sports,,Yes,
Stellaris,PS4,Extra,Active,Jun 2022,,13.68,,122.53,80,,,Strategy,,Yes,
Stranded Deep,PS4,Extra,Active,Jun 2022,,13.68,Apr 2020,2.20,69,,,Survival,,Yes,
Sundered: Eldritch Edition,PS4,Extra,Active,Jun 2022,,13.68,,122.53,78,,,Platformer,,Yes,Yes
Surgeon Simulator: Anniversary Edition,PS4,Extra,Active,Jun 2022,,13.68,Aug 2014,7.87,61,,,Simulation,,Yes,Yes
Surviving Mars,PS4,Extra,Active,Jun 2022,,13.68,Mar 2018,4.25,77,,,Strategy,,Yes,
Tearaway Unfolded,PS4,Extra,Active,Jun 2022,,13.68,Sep 2015,6.79,84,,,Adventure,,Yes,
Telling Lies,PS4,Extra,Active,Jun 2022,,13.68,Aug 2019,2.81,79,,,Interactive Story,,Yes,
Terraria,PS4,Extra,Active,Jun 2022,,13.68,May 2011,11.08,79,,,Survival,,Yes,Yes
The Book of Unwritten Tales 2,PS4,Extra,Removed,Jun 2022,Feb 2023,8.28,Feb 2015,7.32,72,,,Interactive Story,,Yes,
The Caligula Effect: Overdose,PS4,Extra,Removed,Jun 2022,Apr 2023,10.13,,122.53,62,,,RPG,,No,
The Council: The Complete Season,PS4,Extra,Removed,Jun 2022,Jan 2023,7.17,,122.53,76,,14,Adventure,,No,
The Crew,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,Feb 2014,8.37,62,,,Racing,,Yes,Yes
The Crew 2,PS4,Extra (Ubisoft+ Classics),Leaving Soon,Jun 2022,Aug 2023,14.04,Mar 2018,4.29,67,,,Racing,,Yes,Yes
The Dark Pictures Anthology: Little Hope,PS4,Extra,Active,Jun 2022,,13.68,,122.53,73,,,Horror,,Yes,
The Dark Pictures Anthology: Man of Medan,PS4,Extra,Active,Jun 2022,,13.68,Aug 2019,2.79,69,,5,Horror,,No,
The Elder Scrolls Online: Tamriel Unlimited,PS4,Extra,Active,Jun 2022,,13.68,Apr 2014,8.20,74,,,RPG,,Yes,
The Fisherman: Fishing Planet,PS4,Extra,Active,Jun 2022,,13.68,,122.53,73,,,Sports,,Yes,
The Last Guardian,PS4,Extra,Active,Jun 2022,,13.68,Dec 2016,5.53,82,,,Adventure,,Yes,
The Last Tinker: City of Colors,PS4,Extra,Removed,Jun 2022,Jan 2023,7.17,Aug 2014,7.87,69,,6,Platformer,,Yes,
The Lego Movie Videogame,PS4,Extra,Active,Jun 2022,,13.68,Feb 2014,8.35,70,,,Adventure,,Yes,Yes
The Long Dark,PS4,Extra,Active,Jun 2022,,13.68,Aug 2017,4.87,78,,,Survival,,Yes,
The Messenger,PS4,Extra,Active,Jun 2022,,13.68,Aug 2018,3.79,86,,,Platformer,,Yes,
The Missing: J.J. Macfield and the Island of Memories,PS4,Extra,Active,Jun 2022,,13.68,,122.53,79,,,Adventure,,No,
The Surge,PS4,Extra,Active,Jun 2022,,13.68,May 2017,5.08,74,,,RPG,,Yes,
The Surge 2,PS4,Extra,Active,Jun 2022,,13.68,Sep 2019,2.72,76,,,RPG,,Yes,
The Technomancer,PS4,Extra,Active,Jun 2022,,13.68,Jun 2016,5.96,58,,,RPG,,Yes,
The Turing Test,PS4,Extra,Removed,Jun 2022,Feb 2023,8.28,Aug 2016,5.83,79,,,Puzzle,,Yes,
The Vanishing of Ethan Carter,PS4,Extra,Removed,Jun 2022,Mar 2023,9.21,Sep 2014,7.79,79,,,Adventure,,Yes,
The Witch and the Hundred Knight: Revival Edition,PS4,Extra,Active,Jun 2022,,13.68,Mar 2016,6.29,65,,,RPG,,Yes,
The Wonderful 101: Remastered,PS4,Extra,Removed,Jun 2022,Apr 2023,10.13,,122.53,73,,,Action,,No,Yes
This is the Police,PS4,Extra,Active,Jun 2022,,13.68,Mar 2017,5.29,66,,,Interactive Story,,Yes,
This is the Police 2,PS4,Extra,Active,Jun 2022,,13.68,,122.53,70,,,Interactive Story,,Yes,
This War of Mine: The Little Ones,PS4,Extra,Removed,Jun 2022,May 2023,11.05,Nov 2014,7.58,78,,,Survival,,Yes,
Thomas Was Alone,PS4,Extra,Active,Jun 2022,,13.68,Jun 2012,9.96,79,,,Platformer,,Yes,
Through The Darkest of Times,PS4,Extra,Active,Jun 2022,,13.68,,122.53,75,,,Strategy,,Yes,
Tom Clancy's The Division,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,84,,,Shooter,,Yes,
TorqueL,PS4,Extra,Active,Jun 2022,,13.68,,122.53,56,,,Puzzle,,No,
Totally Reliable Delivery Service,PS4,Extra,Active,Jun 2022,,13.68,Apr 2020,2.20,56,,,Arcade,,No,Yes
Touhou Genso Rondo: Bullet Ballet,PS4,Extra,Active,Jun 2022,,13.68,Sep 2016,5.78,63,,,Action,,Yes,Yes
Toukiden 2,PS4,Extra,Active,Jun 2022,,13.68,Jul 2016,5.95,76,,,Action,,Yes,
Towerfall Ascension,PS4,Extra,Active,Jun 2022,,13.68,,122.53,83,,,Action,,Yes,Yes
Townsmen: A Kingdom Rebuilt,PS4,Extra,Active,Jun 2022,,13.68,,122.53,66,,,Strategy,,Yes,
Trackmania Turbo,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,78,,,Racing,,Yes,Yes
Trials Fusion,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,79,,,Sports,,Yes,Yes
Trials of The Blood Dragon,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,54,,,Platformer,,No,
Trials Rising,PS4,Extra (Ubisoft+ Classics),Active,Jun 2022,,13.68,,122.53,80,,,Sports,,Yes,Yes
Tricky Towers,PS4,Extra,Active,Jun 2022,,13.68,Aug 2016,5.87,72,,,Puzzle,,Yes,Yes
Trine 4: The Nightmare Prince,PS4,Extra,Active,Jun 2022,,13.68,,122.53,80,,,Platformer,,Yes,Yes
TRON RUN/r,PS4,Extra,Active,Jun 2022,,13.68,Feb 2016,6.37,70,,,Action,,Yes,
Tropico 5,PS4,Extra,Active,Jun 2022,,13.68,May 2014,8.12,76,,,Strategy,,Yes,
TT Isle of Man: Ride of the Edge 2,PS4,Extra,Removed,Jun 2022,May 2023,11.05,,122.53,73,,,Racing,,Yes,Yes
Uncharted 4: A Thief's End,PS4,Extra,Active,Jun 2022,,13.68,May 2016,6.12,92,,,Adventure,,Yes,
UNCHARTED: The Lost Legacy,PS4,Extra,Active,Jun 2022,,13.68,Aug 2017,4.87,86,,,Adventure,,No,
Until Dawn,PS4,Extra,Active,Jun 2022,,13.68,Aug 2015,6.87,79,,,Horror,,Yes,
